t#bar{t} sel efficiency correction down,	0.207087582	0.207409112	0.247002594	0.247593063	0.111074341	0.107010712	0.038513686	0.041040958	0.396321797	0.396946155
t#bar{t} b fragmentation up,	0.207878255	0.207409112	0.245645378	0.247593063	0.111829508	0.107010712	0.036540796	0.041040958	0.398106063	0.396946155
t#bar{t} b fragmentation down,	0.206239840	0.207409112	0.248439816	0.247593063	0.110225717	0.107010712	0.039560441	0.041040958	0.395534186	0.396946155
t#bar{t} Peterson Frag,	0.207914461	0.207409112	0.245779258	0.247593063	0.111157608	0.107010712	0.037442574	0.041040958	0.397706098	0.396946155
t#bar{t} semilep BR up,	0.206977629	0.207409112	0.247094479	0.247593063	0.111035948	0.107010712	0.038286140	0.041040958	0.396605804	0.396946155
t#bar{t} semilep BR down,	0.207126994	0.207409112	0.246951850	0.247593063	0.111655143	0.107010712	0.038561946	0.041040958	0.395704067	0.396946155
t#bar{t} isr up,	0.208475092	0.207409112	0.245131546	0.247593063	0.096700231	0.107010712	0.054009335	0.041040958	0.395683796	0.396946155
t#bar{t} isr dn,	0.203770442	0.207409112	0.259020875	0.247593063	0.083319332	0.107010712	0.064674255	0.041040958	0.389215095	0.396946155
t#bar{t} fsr up,	0.211715287	0.207409112	0.250506151	0.247593063	0.101899807	0.107010712	0.041528450	0.041040958	0.394350306	0.396946155
t#bar{t} fsr dn,	0.208947165	0.207409112	0.252249540	0.247593063	0.099899527	0.107010712	0.052181688	0.041040958	0.386722081	0.396946155
t#bar{t} hdamp up,	0.206307789	0.207409112	0.251858657	0.247593063	0.103657103	0.107010712	0.040513484	0.041040958	0.397662966	0.396946155
t#bar{t} hdamp dn,	0.207777213	0.207409112	0.244229318	0.247593063	0.098399207	0.107010712	0.055041179	0.041040958	0.394553084	0.396946155
t#bar{t} UEup,	0.207271830	0.207409112	0.259979682	0.247593063	0.093017712	0.107010712	0.047768655	0.041040958	0.391962122	0.396946155
t#bar{t} UEdn,	0.214640176	0.207409112	0.237905058	0.247593063	0.113241585	0.107010712	0.037307582	0.041040958	0.396905599	0.396946155
t#bar{t} ERDon,	0.207317441	0.207409112	0.249943038	0.247593063	0.110234539	0.107010712	0.033813840	0.041040958	0.398691142	0.396946155
t#bar{t} QCDbased,	0.208888270	0.207409112	0.247303513	0.247593063	0.093621620	0.107010712	0.047610075	0.041040958	0.402576522	0.396946155
t#bar{t} gluon move,	0.209760662	0.207409112	0.249044721	0.247593063	0.100602531	0.107010712	0.043269156	0.041040958	0.397322929	0.396946155
